,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
1432,1014566,0.8338836593867497,0.16611634061325034,Standard,timber,0.0,0.0,Good,Year Round,Other,-1.98426,30.06329,10.0,40.0
1433,1014567,0.9969238512239293,0.0030761487760706044,Outside of current engineering scope,timber,50.0,0.0,Good,Year Round,Suspension,-1.965138,30.071417,10.0,158.0
1434,1014568,0.9998357803462646,0.00016421965373539026,Requires additional engineering,none,105.0,0.0,Good,Seasonally,Suspension,-2.10574,30.087112,0.0,209.0
1435,1014569,0.7533371257540684,0.24666287424593158,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.335418,30.05721,10.0,44.0
1436,1014570,0.6592655845157859,0.340734415484214,Standard,timber,70.0,0.0,Good,Seasonally,Suspension,-2.335818,30.075542,0.0,32.0
1437,1014571,0.7482230192927084,0.25177698070729165,Standard,timber,105.0,0.0,Fair,Seasonally,Suspension,-2.32955,30.056882,1.7,63.8
1438,1014594,0.14336700098035812,0.8566329990196418,Standard,timber,365.0,0.0,Good,Seasonally,Suspension,-1.78019,30.14043,10.0,55.0
1439,1014595,0.12293838552577514,0.8770616144742248,Standard,timber,365.0,1.0,Good,Year Round,Suspension,-1.79011,30.13083,10.0,74.0
1440,1014596,0.8658410052075156,0.1341589947924844,Standard,none,14.0,0.0,Good,Never,Suspension,-2.22306,30.056,10.0,33.0
1441,1014597,0.8148223295699409,0.18517767043005906,Standard,none,46.0,0.0,Good,Never,Suspension,-2.22306,30.0561,10.0,79.0
1442,1014598,0.8848386411839717,0.11516135881602829,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.20524,30.07864,10.0,44.0
1443,1014599,0.8432668007393386,0.15673319926066137,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.22393,30.07617,10.0,44.0
1444,1014600,0.7853783243983428,0.21462167560165726,unknown,unknown,46.0,0.0,unknown,Year Round,unknown,-2.29153,30.05912,10.0,44.0
1445,1014602,0.05169152213332834,0.9483084778666716,Standard,timber,61.0,0.0,Good,Seasonally,Suspended,-1.758415,30.255139,10.0,45.0
1446,1014603,0.05649872707367559,0.9435012729263245,Standard,timber,21.0,0.0,Good,Seasonally,Suspension,-1.713697,30.358427,10.0,35.0
1447,1014604,0.05213416793670038,0.9478658320632996,unknown,unknown,46.0,0.0,Good,Year Round,unknown,-1.719635,30.366374,10.0,44.0
1448,1014605,0.20326571042841232,0.7967342895715877,unknown,unknown,46.0,0.0,unknown,Never,unknown,-1.893193,30.280679,10.0,44.0
1449,1014606,0.9172624164242141,0.08273758357578591,unknown,unknown,12.0,0.0,unknown,unknown,unknown,-1.989138,30.263844,10.0,44.0
1450,1014607,0.31201747247390343,0.6879825275260966,Standard,timber,32.0,0.0,Good,Year Round,Suspension,-1.926646,30.276659,10.0,40.0
1451,1014608,0.19756126393107237,0.8024387360689277,Standard,timber,31.0,0.0,unknown,unknown,Suspended,-1.918336,30.273599,10.0,38.0
1452,1014609,0.8389476837362829,0.16105231626371702,Standard,timber,21.0,0.0,Good,Seasonally,Suspended,-2.013575,30.254667,10.0,30.0
1453,1014610,0.9119113955386089,0.08808860446139113,Standard,timber,43.0,0.0,Good,Year Round,Suspension,-1.98212,30.343604,10.0,50.0
1454,1014611,0.7422627154785932,0.25773728452140676,Standard,none,23.0,0.0,Good,Year Round,Suspension,-1.965611,30.337764,10.0,35.0
1455,1014612,0.20326571042841232,0.7967342895715877,Standard,timber,40.0,0.0,Good,Year Round,Suspension,-1.896111,30.278146,10.0,40.0
1456,1014613,0.2709154816774958,0.7290845183225042,Standard,none,124.0,0.0,Good,Seasonally,Suspended,-1.864099,30.23329,10.0,55.0
1457,1014614,0.10863506004718881,0.8913649399528112,Standard,timber,90.0,0.0,Good,Year Round,Suspension,-1.84731,29.99128,10.0,50.0
1458,1014616,0.9070898226217553,0.09291017737824481,Standard,timber,37.0,0.0,Good,Year Round,Suspension,-1.970761,30.232989,10.0,54.0
1459,1014618,0.8276977914253273,0.17230220857467268,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.248912,30.019451,10.0,44.0
1460,1014619,0.7531908127399823,0.24680918726001755,Standard,timber,32.0,0.0,Good,Never,Suspended,-2.261622,29.988408,0.9,59.0
1461,1014792,0.9998141516325674,0.0001858483674326754,Standard,timber,60.0,0.0,Good,Seasonally,Suspended,-1.419195,30.104228,10.0,38.0
1462,1014793,0.6545169627713009,0.34548303722869916,Standard,timber,90.0,0.0,Good,Never,Suspension,-2.06596,30.31733,0.2,30.0
1463,1021924,0.004351514653244765,0.9956484853467552,unknown,fording,365.0,0.0,unknown,unknown,Suspension,-2.062615,29.67597263,10.0,44.0
1464,1022386,0.8431683691647228,0.15683163083527726,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-1.952646,30.139628,10.0,44.0
1466,1007481,0.026603291989541453,0.9733967080104585,Requires additional engineering,none,90.0,3.0,Good,Never,Suspension,-2.364085,29.553359,0.3,115.0
