,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1012811,1014376,1013876,1014258,1014349,1013693,1007376,1013834,1014480,1012811,1007379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012815,1012815,1012813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012816,1013902,1012816,1013469,1013473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012820,1014061,1013363,1013865,1013386,1013385,1012820,1014291,1012990,1014290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012823,1013874,1012823,1013921,1007423,1013799,1007497,1013912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012830,1014304,1013465,1007565,1013005,1013569,1014563,1014039,1014607,1013006,1012830,1013457,1007537,1007571,1007523,1013722,1013877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012831,1012550,1009553,1013545,1012701,1013888,1013004,1013271,1013252,1014270,1014112,1013555,1013003,1012831,1014152,1013904,1007557,1013886,1014033,1013883,1014114,1014048,1014539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012947,1012947,1013887,1007431,1013219,1013915,1013221,1013415,1013895,1007354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012948,1012948,1010423,1007480,1009445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012952,1012952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
